YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1887,3.60,9.20,8.50,14.30,21.40,24.00,27.40,24.10,20.10,14.10,8.40,5.10,6.56,14.73,25.17,14.20,15.17
1888,4.70,7.10,8.20,14.90,19.50,24.60,25.80,25.60,20.30,13.20,10.60,5.30,5.63,14.20,25.33,14.70,14.97
1889,6.80,3.40,8.40,14.60,20.10,23.10,25.30,23.00,20.40,14.20,11.50,11.90,5.17,14.37,23.80,15.37,14.68
1890,10.90,11.50,9.80,15.30,20.80,25.90,24.80,23.60,21.70,15.70,12.10,5.20,11.43,15.30,24.77,16.50,17.00
1891,5.80,9.40,7.30,15.30,18.10,24.30,23.30,24.40,22.20,13.60,8.70,8.80,6.80,13.57,24.00,14.83,14.80
1892,3.70,6.60,8.10,14.00,19.80,24.30,24.90,25.90,21.00,15.00,8.80,4.40,6.37,13.97,25.03,14.93,15.07
1893,-0.70,6.60,9.00,16.80,18.90,23.40,26.60,24.40,21.40,15.30,9.30,7.00,3.43,14.90,24.80,15.33,14.62
1894,6.40,7.20,13.30,14.70,20.90,24.30,25.20,24.10,22.80,16.00,9.10,6.40,6.87,16.30,24.53,15.97,15.92
1895,4.10,0.30,9.40,14.20,18.30,24.80,24.70,25.20,24.40,13.80,10.70,6.30,3.60,13.97,24.90,16.30,14.69
1896,3.90,6.60,9.00,17.60,23.30,23.70,26.40,25.90,22.10,14.90,12.90,4.70,5.60,16.63,25.33,16.63,16.05
1897,3.30,7.90,11.70,15.60,19.00,24.80,26.00,25.20,22.80,17.20,11.60,6.70,5.30,15.43,25.33,17.20,15.82
1898,7.30,4.90,12.90,13.20,21.10,24.40,26.40,26.00,23.00,16.40,9.40,6.40,6.30,15.73,25.60,16.27,15.97
1899,4.70,2.80,10.80,13.80,20.70,25.10,25.30,25.90,21.30,16.70,11.00,5.40,4.63,15.10,25.43,16.33,15.38
