YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1957,999.90,-38.21,-53.66,-56.37,-55.91,-56.39,-60.92,-58.19,-62.28,-52.69,-36.98,-25.15,999.90,-55.31,-58.50,-50.65,-49.09
1958,-24.88,-35.26,-53.73,-61.70,-56.98,-61.12,-55.21,-61.54,-56.13,-49.41,-38.36,-31.10,-28.43,-57.47,-59.29,-47.97,-48.29
1959,-28.98,-39.70,-54.79,-55.05,-56.33,-60.02,-59.49,-59.67,-61.90,-51.26,-40.98,-28.85,-33.26,-55.39,-59.73,-51.38,-49.94
1960,-30.42,-39.72,-57.52,-56.87,-55.73,-58.66,-58.67,-62.20,-57.57,-51.91,-38.44,-27.19,-33.00,-56.71,-59.84,-49.31,-49.71
1961,-30.62,-41.33,-57.09,-59.84,-57.21,-52.96,-60.59,-56.90,-57.72,-49.05,-38.36,-29.02,-33.05,-58.05,-56.82,-48.38,-49.07
1962,-29.75,-41.86,-53.63,-58.14,-59.11,-53.13,-60.15,-60.57,-57.55,-50.47,-37.59,-30.14,-33.54,-56.96,-57.95,-48.54,-49.25
1963,-28.93,-41.56,-54.29,-60.85,-55.77,-55.26,-59.52,-54.56,-54.34,-50.68,-40.83,-27.21,-33.54,-56.97,-56.45,-48.62,-48.89
1964,-27.59,-41.27,-53.02,-61.12,-61.45,-54.02,-57.05,-58.00,-62.43,-53.25,-38.69,-28.11,-32.02,-58.53,-56.36,-51.46,-49.59
1965,-29.00,-39.93,-51.94,-57.34,-56.28,-52.94,-64.20,-57.13,-63.04,-52.64,-40.34,-27.74,-32.35,-55.19,-58.09,-52.01,-49.41
1966,-29.50,-40.73,-52.25,-56.52,-61.05,-61.40,-58.20,-61.52,-57.79,-51.12,-37.45,-26.50,-32.66,-56.61,-60.37,-48.79,-49.61
1967,-24.80,-40.05,-54.71,-57.62,-58.52,-61.39,-56.78,-61.25,-57.92,-53.86,-37.93,-27.59,-30.45,-56.95,-59.81,-49.90,-49.28
1968,-29.40,-39.90,-53.87,-54.05,-59.03,-58.73,-62.44,-62.15,-61.61,-46.91,-37.96,-29.42,-32.30,-55.65,-61.11,-48.83,-49.47
1969,-27.81,999.90,999.90,-54.72,999.90,999.90,-64.29,-57.77,999.90,999.90,-40.50,-28.56,-32.89,999.90,-60.58,999.90,999.90
1970,-27.91,-40.54,-53.80,-59.72,-58.95,-60.25,-59.88,-59.99,-56.62,-49.07,-40.52,-27.57,-32.34,-57.49,-60.04,-48.74,-49.65
1971,-25.12,-38.46,-54.75,-53.70,-56.26,-61.91,-61.60,-60.43,-62.20,-50.01,-37.46,-25.88,-30.38,-54.90,-61.31,-49.89,-49.12
1972,-26.51,-39.27,-56.30,-57.97,-59.17,-58.54,-59.87,-54.96,-60.04,-47.11,-37.32,-28.68,-30.55,-57.81,-57.79,-48.16,-48.58
1973,-29.13,-44.03,-55.12,-57.33,-55.35,-59.88,-59.74,-59.93,-58.04,-50.53,-35.55,-29.42,-33.95,-55.93,-59.85,-48.04,-49.44
1974,-27.44,-41.44,-53.38,-57.37,-57.84,-58.04,-60.90,-56.21,-58.49,-50.66,-39.12,-23.95,-32.77,-56.20,-58.38,-49.42,-49.19
1975,-27.75,-39.12,-52.12,-58.30,-54.30,-62.15,-62.27,-61.15,-59.94,-49.70,-37.86,-27.04,-30.27,-54.91,-61.86,-49.17,-49.05
1976,-27.43,-40.65,-53.59,-60.02,-59.56,-59.19,-60.60,-65.03,-59.40,-51.22,-37.10,-25.47,-31.71,-57.72,-61.61,-49.24,-50.07
1977,-25.04,-42.14,-54.01,-57.93,-54.85,-56.33,-56.68,-59.85,-62.29,-55.32,-40.09,-29.18,-30.88,-55.60,-57.62,-52.57,-49.17
1978,-29.80,-40.23,-54.37,-50.65,-57.28,-60.33,-60.39,-62.64,-60.09,-50.10,-38.83,-29.10,-33.07,-54.10,-61.12,-49.67,-49.49
1979,-27.70,-40.62,-51.55,-53.33,-61.48,-57.08,-63.76,-61.23,-56.00,-53.05,-37.83,-27.53,-32.47,-55.45,-60.69,-48.96,-49.39
1980,-27.14,-39.84,-54.10,-56.22,-55.58,-57.97,-59.76,-62.36,-60.00,-51.27,-33.67,-25.11,-31.50,-55.30,-60.03,-48.31,-48.79
1981,-24.78,-38.62,-52.47,-58.82,-53.60,-57.97,-56.01,-55.31,-61.95,-55.55,-41.62,-28.32,-29.50,-54.96,-56.43,-53.04,-48.48
1982,-29.05,-41.15,-54.80,-54.75,-56.86,-60.54,-57.99,-61.20,-61.64,-48.97,-32.44,-27.03,-32.84,-55.47,-59.91,-47.68,-48.98
1983,-29.16,-42.64,-54.82,-56.10,-56.67,-62.08,-64.25,-59.74,-58.87,-55.18,-43.01,-30.10,-32.94,-55.86,-62.02,-52.35,-50.80
1984,-27.56,-41.02,-52.19,-60.60,-56.19,-63.84,-54.53,-59.60,-57.14,-52.15,-35.27,-25.25,-32.89,-56.33,-59.32,-48.19,-49.18
1985,-26.44,-43.06,-53.29,-56.19,-59.54,-53.64,-60.49,-57.71,-61.41,-51.61,-40.41,-30.88,-31.58,-56.34,-57.28,-51.14,-49.09
1986,-26.14,-36.17,-51.89,-53.98,-60.95,-62.95,-59.54,-57.94,-63.35,-53.36,-39.32,-29.10,-31.06,-55.61,-60.14,-52.01,-49.71
1987,-27.50,-41.16,-51.61,-58.62,-59.09,-56.85,-60.53,-66.75,-60.61,-52.27,-41.95,-28.97,-32.59,-56.44,-61.38,-51.61,-50.50
