YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1896,27.50,27.80,25.40,25.00,24.30,23.70,25.40,25.80,27.00,27.80,27.90,28.10,27.86,24.90,24.97,27.57,26.32
1897,28.30,25.50,25.60,24.90,24.50,23.50,23.90,25.00,26.80,27.30,27.50,27.80,27.30,25.00,24.13,27.20,25.91
1898,28.10,26.00,27.20,25.80,26.70,26.10,25.80,25.90,26.40,27.20,27.40,26.90,27.30,26.57,25.93,27.00,26.70
1899,26.90,24.30,24.10,24.10,24.00,23.60,23.70,24.90,26.40,26.90,27.40,27.90,26.03,24.07,24.07,26.90,25.27
1900,27.00,26.80,27.80,27.40,27.60,26.40,26.50,26.60,27.40,27.70,27.70,27.40,27.23,27.60,26.50,27.60,27.23
1901,27.60,26.70,25.60,25.30,24.80,25.80,25.60,26.40,26.80,27.10,27.40,27.80,27.23,25.23,25.93,27.10,26.38
1902,27.50,27.60,26.60,26.20,24.90,26.10,26.10,26.30,26.70,26.60,26.90,27.90,27.63,25.90,26.17,26.73,26.61
1903,26.90,25.90,25.80,26.90,26.70,26.20,26.00,26.10,26.40,26.90,27.20,27.80,26.90,26.47,26.10,26.83,26.58
1904,26.90,27.20,25.40,26.20,25.40,25.10,24.60,24.70,26.10,26.40,26.70,26.90,27.30,25.67,24.80,26.40,26.04
1905,27.10,26.00,24.50,24.90,25.40,25.50,25.50,26.40,26.80,26.80,27.70,27.10,26.67,24.93,25.80,27.10,26.12
1906,27.90,26.20,26.20,25.20,24.00,24.10,25.00,25.90,26.40,27.00,27.30,27.30,27.07,25.13,25.00,26.90,26.02
1907,27.30,26.20,26.60,26.70,26.80,26.60,24.60,26.30,26.90,27.50,27.30,27.50,26.93,26.70,25.83,27.23,26.68
1908,28.00,28.70,26.60,26.50,26.40,26.50,26.40,27.10,27.40,27.50,27.00,27.70,28.07,26.50,26.67,27.30,27.13
1909,27.20,26.50,27.30,26.40,26.50,26.80,26.10,26.40,26.80,27.40,27.50,27.60,27.13,26.73,26.43,27.23,26.88
1910,26.50,27.10,25.80,25.30,24.60,24.80,25.40,26.50,27.10,27.70,27.50,27.20,27.07,25.23,25.57,27.43,26.33
1911,26.10,26.30,24.60,25.60,25.90,26.90,26.00,26.40,27.00,27.20,27.30,27.40,26.53,25.37,26.43,27.17,26.38
1912,27.20,25.70,25.00,25.20,24.40,24.20,24.80,26.00,26.50,26.90,27.10,27.50,26.77,24.87,25.00,26.83,25.87
1913,27.60,25.30,25.10,25.10,24.50,24.50,24.70,25.90,26.50,27.10,27.50,26.90,26.80,24.90,25.03,27.03,25.94
1914,26.50,26.00,25.80,25.70,24.70,24.60,24.60,24.90,26.90,27.20,27.50,28.10,26.47,25.40,24.70,27.20,25.94
1915,27.90,28.40,29.00,28.10,28.00,27.70,27.60,27.40,27.40,28.00,28.00,27.70,28.13,28.37,27.57,27.80,27.97
1916,27.30,27.70,25.60,25.70,24.70,24.40,24.80,25.60,26.50,27.30,27.20,27.40,27.57,25.33,24.93,27.00,26.21
1917,25.70,24.50,24.50,25.00,23.90,23.40,24.40,26.00,26.90,27.70,27.60,27.40,25.87,24.47,24.60,27.40,25.58
1918,26.70,25.80,26.40,25.90,25.70,24.70,25.60,25.50,26.50,27.60,28.10,27.80,26.63,26.00,25.27,27.40,26.33
1919,27.20,28.10,28.10,28.20,27.90,27.00,26.10,26.30,26.80,27.20,27.30,28.00,27.70,28.07,26.47,27.10,27.33
1920,28.00,28.30,26.00,26.00,25.40,24.30,24.80,26.20,26.80,27.90,27.70,27.50,28.10,25.80,25.10,27.47,26.62
1921,27.20,25.80,25.40,25.40,24.10,24.00,23.80,25.60,26.60,27.20,27.60,27.90,26.83,24.97,24.47,27.13,25.85
1922,28.10,27.80,26.60,24.70,24.40,24.20,23.60,24.80,26.50,26.70,26.80,27.00,27.93,25.23,24.20,26.67,26.01
1923,27.80,25.60,25.70,24.40,25.00,24.80,25.00,26.20,26.80,27.50,27.80,28.10,26.80,25.03,25.33,27.37,26.13
1924,28.10,25.60,25.40,24.60,24.50,23.80,24.00,25.00,26.40,26.60,27.00,27.00,27.27,24.83,24.27,26.67,25.76
1925,26.00,25.40,25.20,24.60,24.47,24.97,25.57,25.97,25.97,26.27,26.47,26.87,26.13,24.76,25.50,26.24,25.66
1926,26.57,26.27,25.57,25.57,24.97,24.77,25.27,26.07,26.67,26.77,27.17,27.27,26.57,25.37,25.37,26.87,26.05
1927,26.77,26.17,25.07,25.07,24.77,24.57,24.87,26.17,26.97,26.97,27.47,27.97,26.74,24.97,25.20,27.14,26.01
