YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1887,4.68,10.28,9.58,15.38,22.48,25.08,28.48,25.18,21.18,15.18,9.48,6.18,7.61,15.81,26.25,15.28,16.24
1888,5.78,8.18,9.28,15.98,20.58,25.68,26.88,26.68,21.38,14.28,11.68,6.37,6.71,15.28,26.41,15.78,16.05
1889,7.87,4.47,9.47,15.67,21.17,24.17,26.37,24.07,21.47,15.27,12.57,12.97,6.24,15.44,24.87,16.44,15.74
1890,11.97,12.57,10.87,16.37,21.87,26.97,25.87,24.67,22.77,16.77,13.17,6.26,12.50,16.37,25.84,17.57,18.07
1891,6.86,10.46,8.36,16.36,19.16,25.36,24.36,25.46,23.26,14.66,9.76,9.86,7.86,14.63,25.06,15.89,15.86
1892,4.76,7.66,9.16,15.06,20.86,25.36,25.96,26.96,22.06,16.06,9.86,5.45,7.43,15.03,26.09,15.99,16.13
1893,0.35,7.65,10.05,17.85,19.95,24.45,27.65,25.45,22.45,16.35,10.35,8.04,4.48,15.95,25.85,16.38,15.67
1894,7.44,8.24,14.34,15.74,21.94,25.34,26.24,25.14,23.84,17.04,10.14,7.44,7.91,17.34,25.57,17.01,16.96
1895,5.14,1.34,10.44,15.24,19.34,25.84,25.74,26.24,25.44,14.84,11.74,7.33,4.64,15.01,25.94,17.34,15.73
1896,4.93,7.63,10.03,18.63,24.33,24.73,27.43,26.93,23.13,15.93,13.93,5.73,6.63,17.66,26.36,17.66,17.08
1897,4.33,8.93,12.73,16.63,20.03,25.83,27.03,26.23,23.83,18.23,12.63,7.72,6.33,16.46,26.36,18.23,16.85
1898,8.32,5.92,13.92,14.22,22.12,25.42,27.42,27.02,24.02,17.42,10.42,7.41,7.32,16.75,26.62,17.29,17.00
1899,5.71,3.81,11.81,14.81,21.71,26.11,26.31,26.91,22.31,17.71,12.01,6.41,5.64,16.11,26.44,17.34,16.38
1900,6.91,5.41,9.61,16.11,21.61,25.41,28.21,28.91,25.31,19.71,13.01,6.90,6.24,15.78,27.51,19.34,17.22
1901,6.30,4.80,12.10,12.90,21.10,24.90,27.80,26.60,22.90,16.70,8.20,6.00,6.00,15.37,26.43,15.93,15.93
1902,4.10,3.20,11.60,15.20,22.50,25.70,28.10,26.00,22.20,18.20,14.60,6.79,4.43,16.43,26.60,18.33,16.45
1903,5.79,8.89,15.09,15.89,21.39,23.19,27.29,26.69,22.39,16.39,9.39,4.18,7.16,17.46,25.72,16.06,16.60
1904,3.78,4.48,11.68,14.48,20.98,25.18,26.38,25.88,22.78,15.78,10.58,5.68,4.15,15.71,25.81,16.38,15.51
1905,3.68,2.18,13.08,16.08,22.68,25.38,27.08,25.38,23.78,16.88,11.38,6.77,3.85,17.28,25.95,17.35,16.11
1906,8.57,6.37,8.77,18.07,21.17,25.87,25.97,27.57,25.17,16.07,12.17,7.87,7.24,16.00,26.47,17.80,16.88
1907,9.87,5.27,14.27,12.17,19.87,22.77,27.67,26.07,24.17,15.37,10.77,7.76,7.67,15.44,25.50,16.77,16.34
1908,5.66,4.96,14.86,18.26,21.56,24.46,26.86,24.86,21.66,16.96,12.66,8.55,6.13,18.23,25.39,17.09,16.71
1909,8.75,10.85,10.25,17.15,20.55,26.15,25.15,25.05,21.35,15.65,13.95,5.05,9.38,15.98,25.45,16.98,16.95
1910,6.55,6.25,15.15,17.05,20.25,23.75,26.65,25.55,23.95,18.65,8.85,4.24,5.95,17.48,25.32,17.15,16.47
1911,8.64,8.74,10.14,14.54,22.24,26.74,26.94,26.94,25.44,17.84,9.74,9.14,7.21,15.64,26.87,17.67,16.85
1912,1.84,4.64,10.74,17.94,21.74,24.24,26.84,26.24,25.04,17.94,11.44,8.93,5.21,16.81,25.77,18.14,16.48
1913,11.03,7.83,13.33,16.13,21.93,24.73,27.63,25.73,21.73,17.33,12.03,8.12,9.26,17.13,26.03,17.03,17.36
1914,8.12,4.62,8.52,16.12,22.12,26.82,26.72,26.62,21.42,18.22,11.32,4.62,6.95,15.59,26.72,16.99,16.56
1915,6.62,8.72,6.82,17.52,21.52,23.82,27.32,26.12,24.12,18.82,12.52,6.01,6.65,15.29,25.75,18.49,16.54
1916,9.71,6.61,10.51,15.71,23.01,24.01,25.91,26.31,21.71,17.51,12.11,6.81,7.44,16.41,25.41,17.11,16.59
1917,8.31,6.61,10.51,16.81,18.81,24.81,26.31,25.81,20.31,14.81,9.71,1.20,7.24,15.38,25.64,14.94,15.80
1918,1.10,9.80,14.10,14.80,23.20,24.50,24.80,27.10,20.50,18.80,11.70,9.00,4.03,17.37,25.47,17.00,15.97
1919,8.20,6.80,12.20,16.30,21.30,24.50,26.30,25.80,22.90,21.60,12.10,5.49,8.00,16.60,25.53,18.87,17.25
1920,4.79,4.69,11.19,15.19,18.29,24.89,25.59,25.19,23.99,18.49,10.99,7.18,4.99,14.89,25.22,17.82,15.73
1921,6.78,8.08,15.98,17.18,19.08,25.38,26.98,25.88,26.68,16.88,13.48,8.58,7.35,17.41,26.08,19.01,17.46
1922,4.58,9.78,12.48,16.98,21.48,25.78,26.78,24.48,23.48,18.18,11.78,8.77,7.65,16.98,25.68,17.81,17.03
1923,7.57,5.77,11.77,15.57,20.27,25.87,26.07,26.07,23.57,16.47,10.77,11.47,7.37,15.87,26.00,16.94,16.54
1924,5.77,5.67,10.17,15.17,20.17,25.27,25.47,26.27,20.57,16.87,11.77,7.56,7.64,15.17,25.67,16.40,16.22
