YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1907,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,15.06,6.21,-3.13,999.90,999.90,999.90,14.15,999.90
1908,-2.89,-3.19,4.01,11.36,16.36,22.36,24.76,25.91,20.66,14.60,4.50,0.16,-3.07,10.58,24.34,13.25,11.28
1909,-1.84,-2.44,2.91,11.41,16.81,22.06,25.90,26.71,21.61,13.31,6.11,-2.59,-1.37,10.38,24.89,13.68,11.89
1910,-1.03,-2.29,3.46,11.21,18.01,21.26,24.66,25.81,20.46,15.06,6.56,-3.79,-1.97,10.89,23.91,14.03,11.71
1911,-4.19,0.11,5.06,10.70,16.96,21.81,24.91,26.61,22.06,12.76,6.86,-2.44,-2.62,10.91,24.44,13.89,11.65
1912,-4.04,2.01,5.06,10.91,15.91,22.11,24.90,26.01,19.16,11.91,2.31,-2.39,-1.49,10.63,24.34,11.13,11.15
1913,-4.64,-2.88,2.91,12.10,15.76,21.51,23.46,25.16,20.60,14.16,5.81,-1.19,-3.30,10.26,23.38,13.52,10.96
1914,-1.28,1.41,6.21,11.71,18.60,22.86,27.56,26.90,21.96,15.11,7.16,-0.23,-0.35,12.17,25.77,14.74,13.08
1915,-3.19,-1.89,1.65,10.45,16.71,22.11,26.61,25.86,20.56,16.01,7.36,1.70,-1.77,9.60,24.86,14.64,11.83
1916,1.01,0.52,1.65,12.01,16.36,22.06,24.96,26.86,20.66,13.91,7.71,-0.39,1.08,10.01,24.63,14.09,12.45
1917,-8.24,-2.64,4.11,11.41,15.41,22.91,27.11,26.16,21.26,14.71,4.35,-4.89,-3.76,10.31,25.39,13.44,11.35
1918,-6.79,1.11,5.41,12.16,16.01,21.26,24.61,26.15,20.60,14.21,5.61,-0.49,-3.52,11.19,24.01,13.47,11.29
1919,-4.09,-0.59,5.91,11.36,17.26,22.36,27.16,27.76,20.76,13.91,6.81,-2.04,-1.72,11.51,25.76,13.83,12.34
1920,-6.49,-2.44,6.16,11.41,18.76,22.86,26.56,26.41,22.31,15.86,8.21,-0.74,-3.66,12.11,25.28,15.46,12.30
1921,-2.04,-0.33,4.41,12.21,17.51,21.31,25.41,27.11,21.10,13.51,4.46,0.21,-1.04,11.38,24.61,13.02,11.99
1922,-7.29,1.60,3.86,13.51,17.31,23.15,25.36,27.26,22.01,15.11,4.50,-3.38,-1.83,11.56,25.26,13.87,12.22
1923,-5.44,-2.44,5.56,10.41,17.96,22.21,25.36,27.56,20.60,13.46,5.66,-1.49,-3.75,11.31,25.04,13.24,11.46
1924,-1.79,-0.99,2.01,12.35,17.16,22.51,26.86,28.40,21.61,13.46,4.06,-1.14,-1.42,10.51,25.92,13.04,12.01
1925,-3.49,-2.29,2.41,11.01,17.35,21.81,24.41,26.61,20.85,14.26,8.20,-1.09,-2.31,10.26,24.28,14.44,11.67
1926,-4.39,-1.88,4.11,10.11,17.81,22.01,25.15,26.51,21.40,12.36,7.16,-3.35,-2.45,10.68,24.56,13.64,11.60
1927,-3.70,-2.20,4.25,12.65,14.90,22.50,26.95,26.45,20.65,13.70,8.40,-1.80,-3.08,10.60,25.30,14.25,11.77
1928,-4.75,-1.85,4.85,13.05,17.84,22.75,26.20,27.00,21.40,13.55,5.95,-1.40,-2.80,11.91,25.32,13.63,12.02
1929,-4.20,-1.89,5.55,11.55,18.15,24.20,27.35,27.60,20.15,14.10,5.94,2.09,-2.50,11.75,26.38,13.40,12.26
1930,-3.81,1.83,7.14,13.69,17.89,22.74,26.69,27.94,20.69,15.24,3.84,-0.26,0.04,12.91,25.79,13.26,13.00
