YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-9.71,-5.11,-0.91,10.79,13.29,16.79,19.69,16.59,13.59,10.39,4.39,-0.41,-6.98,7.72,17.69,9.46,6.97
1881,-6.71,-4.41,3.26,8.06,13.56,16.06,18.86,19.66,13.26,7.86,-0.14,-4.64,-3.84,8.29,18.19,6.99,7.41
1882,-3.94,-3.64,6.36,9.46,13.46,15.56,19.96,16.66,15.46,8.96,3.86,0.66,-4.07,9.76,17.39,9.43,8.13
1883,-5.94,-4.44,-1.74,5.66,13.76,18.26,19.56,17.76,14.76,8.76,3.36,-4.45,-3.24,5.89,18.53,8.96,7.53
1884,-4.15,-0.25,3.05,8.25,14.65,15.55,17.85,16.75,13.15,7.65,-2.85,-1.25,-2.95,8.65,16.72,5.98,7.10
1885,-4.45,-0.85,3.55,10.85,13.45,17.85,18.85,17.05,14.15,10.95,3.95,-5.45,-2.18,9.28,17.92,9.68,8.67
1886,0.05,-0.85,1.05,9.65,13.45,16.75,17.35,18.25,14.55,9.05,2.75,1.94,-2.08,8.05,17.45,8.78,8.05
1887,-2.06,-6.16,2.34,8.44,15.24,14.84,20.34,18.14,15.74,8.44,4.64,-2.56,-2.09,8.67,17.77,9.61,8.49
1888,-11.96,-5.76,5.14,8.74,14.04,17.34,19.24,18.64,15.74,8.84,-1.56,-1.96,-6.76,9.31,18.41,7.67,7.16
1889,-4.86,-1.86,2.24,8.74,16.34,17.94,19.84,19.14,12.04,12.24,2.84,-7.77,-2.89,9.11,18.97,9.04,8.56
1890,-3.97,-10.56,3.63,10.93,15.03,14.93,20.43,21.43,12.83,8.33,6.03,-3.47,-7.43,9.86,18.93,9.06,7.61
1891,-6.77,-7.37,3.83,5.93,16.63,17.23,19.03,19.33,15.03,9.43,3.43,-2.27,-5.87,8.80,18.53,9.30,7.69
1892,-2.87,-0.87,2.93,10.13,14.43,17.73,17.93,20.13,17.73,10.53,-0.07,-5.17,-2.00,9.16,18.60,9.40,8.79
1893,-11.97,-1.97,1.33,5.63,12.73,16.83,19.43,17.43,13.93,9.93,3.83,-2.08,-6.37,6.56,17.90,9.23,6.83
1894,-7.68,-4.28,3.22,10.62,14.12,15.42,21.72,18.12,12.52,10.82,1.32,-3.38,-4.68,9.32,18.42,8.22,7.82
1895,-1.78,-5.68,1.42,8.02,12.92,16.72,20.62,18.22,13.72,10.12,3.02,-1.68,-3.61,7.45,18.52,8.95,7.83
1896,-12.78,-2.88,5.02,5.92,13.32,17.22,19.52,19.12,15.62,13.62,2.12,-0.89,-5.78,8.09,18.62,10.45,7.84
1897,-2.59,-2.09,4.51,9.41,13.71,17.31,19.81,19.51,15.51,6.71,-2.49,-5.29,-1.86,9.21,18.88,6.58,8.20
1898,-5.29,-0.89,3.61,10.51,14.81,18.11,18.81,18.81,12.91,11.11,4.71,-2.39,-3.82,9.64,18.58,9.58,8.49
1899,-2.09,-0.29,0.81,10.41,15.61,16.11,18.81,16.81,14.21,6.21,0.91,-3.60,-1.59,8.94,17.24,7.11,7.93
1900,-0.10,3.40,-0.60,8.80,14.00,17.20,20.10,18.20,14.40,10.10,5.50,-0.50,-0.10,7.40,18.50,10.00,8.95
1901,-10.00,-3.90,5.60,8.20,14.20,18.14,18.84,17.14,13.34,9.44,0.44,2.04,-4.80,9.33,18.04,7.74,7.58
1902,-1.06,2.34,2.84,8.04,11.04,16.34,17.44,18.04,13.64,9.74,-2.06,-7.36,1.11,7.31,17.27,7.11,8.20
1903,-3.66,-0.56,4.94,7.54,13.44,16.34,17.94,17.04,13.94,8.94,4.94,0.93,-3.86,8.64,17.11,9.27,7.79
1904,-6.17,2.33,2.93,8.63,13.53,16.93,19.13,17.73,12.83,9.63,-0.67,-1.17,-0.97,8.36,17.93,7.26,8.15
1905,-7.97,-4.76,3.93,7.23,14.83,17.03,19.53,20.13,14.73,6.63,5.73,-1.77,-4.63,8.66,18.90,9.03,7.99
1906,-3.87,0.73,4.33,10.03,14.53,17.03,19.13,17.23,12.93,8.03,5.93,-1.98,-1.64,9.63,17.80,8.96,8.69
1907,-6.28,-5.27,-2.48,7.12,17.42,17.82,18.42,18.12,13.32,12.32,1.92,0.22,-4.51,7.35,18.12,9.19,7.54
1908,-3.88,-0.48,3.82,8.82,16.92,19.42,18.72,17.82,13.02,7.22,-1.78,-2.98,-1.38,9.85,18.65,6.15,8.32
1909,-8.58,-8.28,4.92,9.52,14.52,17.12,19.62,20.52,15.82,9.62,2.32,1.71,-6.61,9.65,19.09,9.25,7.84
1910,-1.39,3.21,3.21,9.11,14.91,17.91,18.51,18.41,14.61,8.21,2.71,0.71,1.18,9.08,18.28,8.51,9.26
1911,-1.89,-5.59,3.61,9.21,15.11,17.01,18.71,18.41,13.61,9.01,5.31,0.01,-2.26,9.31,18.04,9.31,8.60
1912,-7.89,2.11,6.91,7.01,13.11,18.31,18.61,17.11,11.61,6.71,2.11,-0.39,-1.92,9.01,18.01,6.81,7.98
1913,-3.89,-5.09,5.91,9.71,13.51,16.51,16.51,16.41,14.31,8.21,3.41,-0.90,-3.12,9.71,16.48,8.64,7.93
1914,-8.00,-4.90,5.00,9.60,13.70,16.50,18.70,17.90,12.30,6.90,1.30,0.00,-4.60,9.43,17.70,6.83,7.34
1915,0.90,0.80,2.10,8.40,14.50,19.20,19.00,16.10,11.50,9.20,1.20,3.00,0.57,8.33,18.10,7.30,8.57
1916,-0.20,-1.80,7.70,9.10,13.60,17.60,18.90,16.90,12.80,9.30,6.00,3.09,0.33,10.13,17.80,9.37,9.41
1917,-0.51,-7.01,3.39,9.19,14.09,17.99,18.89,20.39,14.69,10.79,4.99,-3.41,-1.48,8.89,19.09,10.16,9.16
1918,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-0.31,999.90,999.90,999.90,999.90,999.90
1919,1.29,-1.01,5.79,9.79,9.39,16.39,17.89,17.19,15.59,7.99,3.29,-0.62,-0.01,8.32,17.16,8.96,8.61
1920,-0.32,-6.12,4.08,13.08,15.58,16.08,20.08,18.28,13.88,4.78,-2.32,0.98,-2.35,10.91,18.15,5.45,8.04
1921,0.88,-2.71,4.58,8.68,15.48,15.68,18.98,19.98,12.48,7.68,1.18,-2.62,-0.28,9.58,18.21,7.11,8.66
1922,-5.22,-2.92,5.48,8.88,13.68,16.28,19.78,18.98,13.58,8.38,-0.32,-5.52,-3.59,9.35,18.35,7.21,7.83
1923,-3.82,-1.42,4.78,8.78,16.48,15.68,18.08,18.08,15.38,11.48,8.38,-0.13,-3.59,10.01,17.28,11.75,8.86
1924,-8.93,-1.43,3.47,9.77,17.67,19.17,19.27,17.97,16.47,8.47,-0.33,-2.63,-3.50,10.30,18.80,8.20,8.45
1925,-3.33,4.17,4.47,10.27,15.17,14.67,19.17,16.37,13.67,8.67,6.27,-3.73,-0.60,9.97,16.74,9.54,8.91
1926,-1.53,2.67,2.87,11.37,13.87,17.17,19.17,15.77,14.27,10.07,10.17,-1.34,-0.86,9.37,17.37,11.50,9.34
1927,-0.84,-3.94,7.76,10.16,14.56,19.66,20.56,20.26,16.66,9.56,4.76,-4.74,-2.04,10.83,20.16,10.33,9.82
1928,-5.64,-4.24,1.06,10.66,12.26,17.56,22.36,19.86,16.16,8.06,5.86,-3.24,-4.87,7.99,19.93,10.03,8.27
1929,-7.24,-7.34,-0.54,6.16,16.76,16.96,18.66,21.06,12.36,9.96,5.46,-0.64,-5.94,7.46,18.89,9.26,7.42
1930,-3.74,-2.34,5.06,10.06,13.36,18.06,19.76,18.16,15.76,9.26,4.86,-1.15,-2.24,9.49,18.66,9.96,8.97
1931,-2.25,1.05,1.15,7.15,16.55,18.75,20.95,18.65,10.85,8.15,2.35,-3.75,-0.78,8.28,19.45,7.12,8.52
1932,-8.85,-8.75,-2.55,8.45,14.75,15.55,19.95,18.35,16.15,11.75,0.35,-2.05,-7.12,6.88,17.95,9.42,6.78
1933,-6.75,-1.75,2.55,4.45,12.25,14.25,17.95,17.05,11.95,9.15,3.85,-6.36,-3.52,6.42,16.42,8.32,6.91
1934,-5.76,-4.96,7.24,13.24,16.34,17.14,18.44,18.44,14.84,8.34,6.34,2.44,-5.69,12.27,18.01,9.84,8.61
1935,-5.26,-4.06,2.14,8.44,13.24,18.64,17.44,18.04,13.74,12.64,1.24,-0.26,-2.29,7.94,18.04,9.21,8.22
1936,1.44,0.34,7.34,9.74,15.14,16.24,22.14,16.64,13.24,6.64,3.04,-3.27,0.51,10.74,18.34,7.64,9.31
1937,-5.87,-1.47,7.23,7.43,16.13,19.03,19.03,17.23,16.33,8.43,4.23,0.53,-3.54,10.26,18.43,9.66,8.71
1938,-5.17,-2.57,3.93,6.53,13.13,18.93,20.73,19.03,13.83,10.33,4.03,-1.47,-2.40,7.86,19.56,9.40,8.61
1939,-0.97,0.13,0.73,9.83,13.63,16.63,18.93,16.93,13.23,8.23,2.13,-2.57,-0.77,8.06,17.50,7.86,8.16
1940,-12.47,-5.47,1.03,8.53,11.73,16.03,19.63,16.03,15.03,9.53,5.13,-6.98,-6.84,7.10,17.23,9.90,6.85
1941,-2.98,2.02,3.22,9.92,12.32,16.02,18.12,18.02,10.62,6.92,-0.88,-2.98,-2.65,8.49,17.39,5.55,7.19
1942,-10.68,-2.88,1.42,7.32,14.42,17.72,19.22,19.42,16.82,7.92,0.92,-2.48,-5.51,7.72,18.79,8.55,7.39
1943,-7.98,0.02,2.82,9.22,11.52,16.42,18.82,21.42,16.32,9.72,4.22,-0.59,-3.48,7.85,18.89,10.09,8.34
1944,-3.89,-2.19,1.51,8.71,12.01,18.11,18.41,19.31,15.01,10.81,3.71,-2.69,-2.22,7.41,18.61,9.84,8.41
1945,-7.09,-2.78,2.21,8.11,16.41,18.11,19.81,19.11,14.91,7.31,1.81,-3.69,-4.19,8.91,19.01,8.01,7.94
1946,-7.89,-2.78,3.21,11.51,16.11,19.71,21.71,22.81,16.81,5.31,4.91,-1.40,-4.79,10.28,21.41,9.01,8.98
1947,-10.80,-1.00,7.60,11.80,16.40,19.20,20.70,17.90,14.70,7.10,4.30,-0.40,-4.40,11.93,19.27,8.70,8.87
1948,3.00,-1.50,3.40,11.90,14.50,15.80,17.60,18.50,14.60,9.80,1.00,-8.50,0.37,9.93,17.30,8.47,9.02
1949,-1.30,-3.60,0.00,9.60,16.10,14.10,17.00,17.30,13.70,8.90,7.40,-0.70,-4.47,8.57,16.13,10.00,7.56
1950,-7.30,-0.70,4.10,12.20,14.60,17.30,21.00,19.30,15.80,7.70,3.80,3.29,-2.90,10.30,19.20,9.10,8.92
1951,0.09,2.49,6.59,10.29,14.29,18.29,18.79,19.99,16.59,6.59,5.49,-3.21,1.96,10.39,19.02,9.56,10.23
1952,-1.81,-0.71,0.39,11.69,12.39,16.79,20.29,21.49,15.69,9.89,4.69,1.79,-1.91,8.16,19.52,10.09,8.96
1953,-2.21,-2.21,2.09,9.79,12.99,18.89,20.99,18.49,15.59,9.99,0.09,-2.92,-0.88,8.29,19.46,8.56,8.86
1954,-8.92,-7.52,6.08,6.68,13.88,18.88,18.68,19.08,16.28,8.88,4.28,1.28,-6.45,8.88,18.88,9.81,7.78
1955,-0.62,1.28,2.88,5.38,13.58,16.48,18.38,17.28,14.48,10.08,3.08,1.48,0.65,7.28,17.38,9.21,8.63
1956,-2.02,-7.62,-0.42,9.78,13.28,17.08,18.88,20.18,13.88,8.28,-0.02,-1.33,-2.72,7.55,18.71,7.38,7.73
1957,-3.73,2.77,4.87,9.47,12.67,18.97,19.57,18.77,14.27,8.37,3.87,-4.03,-0.76,9.00,19.10,8.84,9.04
1958,-2.13,2.17,1.50,7.30,17.20,16.80,19.70,19.50,14.20,9.10,4.50,1.10,-1.33,8.67,18.67,9.27,8.82
1959,-4.30,-5.80,5.80,9.40,13.80,16.50,19.70,17.80,12.30,7.40,3.40,3.40,-3.00,9.67,18.00,7.70,8.09
1960,-3.20,-1.40,5.00,9.20,13.20,16.80,17.60,18.10,12.20,11.50,7.70,4.99,-0.40,9.13,17.50,10.47,9.17
