YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1899,999.90,999.90,999.90,999.90,999.90,25.02,26.22,24.92,26.42,26.12,25.72,22.22,999.90,999.90,25.39,26.09,999.90
1900,19.92,20.72,21.72,22.72,21.92,25.92,26.52,27.92,26.62,26.72,24.52,21.42,20.95,22.12,26.79,25.95,23.95
1901,19.92,20.72,20.32,22.32,999.90,25.52,25.72,26.62,26.82,25.72,21.42,19.72,20.69,21.86,25.95,24.65,23.29
1902,19.82,20.72,18.82,20.92,999.90,999.90,999.90,27.42,28.12,27.62,999.90,19.02,20.09,20.41,999.90,27.28,23.40
1903,17.72,20.82,21.82,21.02,22.62,24.42,26.92,26.02,25.72,26.62,25.32,20.02,19.19,21.82,25.79,25.89,23.17
1904,19.42,20.82,19.92,21.32,21.72,23.52,999.90,24.62,25.42,25.52,24.52,20.42,20.09,20.99,24.27,25.15,22.62
1905,20.02,19.82,19.72,19.92,20.82,24.82,25.62,25.52,27.12,26.42,23.02,21.12,20.09,20.15,25.32,25.52,22.77
1906,21.12,20.42,21.02,20.02,21.82,25.82,25.22,24.52,25.52,26.32,24.92,21.12,20.89,20.95,25.19,25.59,23.15
1907,19.52,18.82,19.12,19.72,20.02,23.02,25.22,24.62,25.52,25.32,21.42,19.02,19.82,19.62,24.29,24.09,21.95
1908,18.82,18.82,19.32,20.82,21.32,24.12,25.92,25.42,26.22,25.82,24.62,22.84,18.89,20.49,25.15,25.55,22.52
1909,19.34,19.24,20.84,20.74,23.14,25.34,26.14,25.54,26.04,26.14,23.24,22.45,20.47,21.57,25.67,25.14,23.21
1910,19.75,20.75,20.15,21.25,21.95,24.05,25.45,25.65,26.25,26.55,26.15,21.16,20.98,21.12,25.05,26.32,23.37
1911,18.86,18.86,19.06,20.96,22.56,25.16,26.56,26.26,26.66,27.66,24.86,22.88,19.63,20.86,25.99,26.39,23.22
1912,19.48,20.18,21.08,20.28,22.18,24.88,26.58,25.58,26.18,25.38,24.58,19.49,20.85,21.18,25.68,25.38,23.27
1913,19.79,20.29,20.19,21.19,22.09,25.39,25.79,26.09,26.39,26.69,25.19,22.51,19.86,21.16,25.76,26.09,23.21
1914,19.51,18.71,19.81,20.81,23.81,28.61,28.41,26.51,27.01,27.41,23.81,22.12,20.24,21.48,27.84,26.08,23.91
