YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1908,-10.81,-9.61,-6.11,-2.51,-0.01,5.39,9.69,8.79,6.09,-2.21,-6.31,-9.51,-10.12,-2.88,7.96,-0.81,-1.46
1909,-8.61,-10.91,-8.21,-5.21,-0.71,7.19,10.99,10.19,5.09,0.89,-4.51,-14.51,-9.68,-4.71,9.46,0.49,-1.11
1910,-11.80,-12.01,-3.01,-1.31,2.19,8.29,11.19,9.49,7.49,0.89,-3.61,-8.81,-12.77,-0.71,9.66,1.59,-0.56
1911,-8.51,-11.01,-5.41,-2.91,2.19,7.79,8.59,8.49,6.19,-1.71,-9.31,-13.21,-9.44,-2.04,8.29,-1.61,-1.20
1912,-10.91,-11.61,-7.60,-5.00,1.19,5.39,8.79,8.49,2.29,-1.11,-5.51,-13.21,-11.91,-3.80,7.56,-1.44,-2.40
1913,-14.51,-12.21,-9.61,-3.01,2.89,6.59,9.39,10.29,3.89,-2.81,-4.31,-11.51,-13.31,-3.24,8.76,-1.08,-2.22
1914,-9.81,-11.61,-7.60,-2.71,2.49,6.99,9.79,8.69,6.39,0.09,-3.71,-12.30,-10.98,-2.61,8.49,0.92,-1.04
1915,-12.30,-9.61,-9.01,-0.51,-0.01,5.69,9.29,8.39,5.49,0.79,-8.11,-10.21,-11.40,-3.18,7.79,-0.61,-1.85
1916,-11.30,-7.81,-6.11,-3.21,0.69,6.69,9.79,8.09,4.49,-1.21,-7.91,-14.51,-9.77,-2.88,8.19,-1.54,-1.50
1917,-14.31,-10.91,-12.71,-5.41,-1.31,5.79,10.09,7.89,5.99,-1.71,-3.81,-8.31,-13.24,-6.48,7.92,0.16,-2.91
1918,-14.01,-10.31,-5.21,-5.21,1.99,9.49,10.09,9.49,4.99,1.39,-8.31,-11.01,-10.88,-2.81,9.69,-0.64,-1.16
1919,-10.51,-12.61,-8.11,-2.51,2.69,6.69,10.69,9.99,6.99,-1.91,-6.61,-9.01,-11.38,-2.64,9.12,-0.51,-1.35
1920,-7.21,-8.51,-10.51,-7.10,2.79,7.19,11.39,9.39,5.49,-0.01,-5.91,-11.11,-8.24,-4.94,9.32,-0.14,-1.00
1921,-9.31,-8.11,-4.01,-4.31,2.79,7.39,9.99,9.29,6.89,2.39,-3.61,-6.31,-9.51,-1.84,8.89,1.89,-0.14
1922,-12.80,-11.01,-7.51,-3.71,1.99,8.79,10.19,10.79,7.29,1.39,-6.01,-9.31,-10.04,-3.08,9.92,0.89,-0.58
1923,-9.11,-10.21,-9.51,-3.91,2.39,6.69,11.09,8.69,4.69,-1.61,-4.31,-8.61,-9.54,-3.68,8.82,-0.41,-1.20
1924,-12.11,-7.60,-10.21,-3.51,1.79,8.29,10.19,9.39,4.99,0.19,-4.11,-10.81,-9.44,-3.98,9.29,0.36,-0.94
1925,-11.51,-8.31,-5.21,-0.61,3.89,6.59,10.19,8.39,5.99,-0.01,-5.81,-8.41,-10.21,-0.64,8.39,0.06,-0.60
1926,-11.30,-7.21,-6.41,-0.61,2.89,7.99,9.39,10.19,6.79,2.79,-8.11,-9.21,-8.97,-1.38,9.19,0.49,-0.17
1927,-6.81,-7.51,-7.51,-1.71,2.99,7.19,10.49,7.99,5.59,1.39,-3.21,-12.01,-7.84,-2.08,8.56,1.26,-0.03
1928,-7.91,-9.11,-5.21,-3.51,3.49,5.89,9.89,8.29,6.29,1.99,-5.31,-9.51,-9.68,-1.74,8.02,0.99,-0.60
1929,-11.01,-12.71,-7.71,-3.71,1.89,7.99,11.29,10.69,5.99,1.19,-7.31,-7.31,-11.08,-3.18,9.99,-0.04,-1.08
1930,-13.11,-6.51,-7.71,0.79,1.09,8.49,10.19,9.49,5.19,-0.01,-5.81,-10.41,-8.98,-1.94,9.39,-0.21,-0.43
1931,-9.91,-8.01,-8.51,-2.11,1.19,8.89,11.99,10.39,7.89,1.29,-7.21,-9.21,-9.44,-3.14,10.42,0.66,-0.38
1932,-13.71,-8.11,-8.91,-2.61,2.79,7.09,11.29,10.29,7.19,0.19,-4.21,-12.11,-10.34,-2.91,9.56,1.06,-0.66
1933,-11.21,-13.61,-6.61,-5.61,-0.21,8.69,11.89,9.89,8.79,3.39,-2.21,-4.91,-12.31,-4.14,10.16,3.32,-0.74
1934,-7.81,-5.61,-3.71,0.09,6.29,8.59,12.29,11.59,4.49,2.69,999.90,-9.11,-6.11,0.89,10.82,0.43,1.51
1935,-8.51,-8.21,-7.21,-2.91,0.29,7.79,10.49,10.59,6.29,-0.21,-6.21,-9.71,-8.61,-3.28,9.62,-0.04,-0.58
1936,-12.11,-10.11,-6.71,-1.51,4.09,9.19,10.89,10.49,5.79,0.39,-5.21,-9.81,-10.64,-1.38,10.19,0.32,-0.38
1937,-15.31,-11.01,-7.21,-2.71,4.19,7.39,10.29,10.59,7.09,1.19,-5.31,-8.31,-12.04,-1.91,9.42,0.99,-0.89
1938,-10.11,-9.61,-6.91,-2.31,0.99,7.79,9.49,10.69,6.49,1.39,-9.71,-9.91,-9.34,-2.74,9.32,-0.61,-0.84
1939,-11.11,-14.21,-6.01,-1.01,4.49,7.39,11.69,10.09,7.99,0.99,-2.51,-6.51,-11.74,-0.84,9.72,2.16,-0.18
1940,-10.31,-9.11,-5.00,-1.71,4.79,8.99,11.29,9.79,7.69,2.19,-6.61,-6.81,-8.64,-0.64,10.02,1.09,0.46
1941,-9.01,-6.51,-6.61,-3.21,4.19,6.79,10.19,9.99,4.89,0.29,-5.71,-8.31,-7.44,-1.88,8.99,-0.18,-0.13
1942,-10.11,-12.71,-9.71,-1.01,2.49,8.29,10.29,10.49,6.79,1.09,-4.11,-8.51,-10.38,-2.74,9.69,1.26,-0.54
1943,-9.31,-7.31,-7.31,1.49,2.39,6.79,11.59,10.49,7.09,0.39,999.90,-8.23,-8.38,-1.14,9.62,0.58,0.17
1944,-9.63,-9.23,-9.13,-4.13,2.67,8.37,11.07,11.57,8.37,3.07,-5.13,-8.73,-9.03,-3.53,10.34,2.10,-0.03
1945,-8.43,-8.33,-6.93,-4.73,3.67,6.37,11.27,11.27,6.27,2.77,-6.23,-12.03,-8.50,-2.66,9.64,0.94,-0.15
1946,-10.93,-9.73,-5.13,1.07,1.17,9.07,11.67,11.07,7.77,-0.63,-6.13,-7.53,-10.90,-0.96,10.60,0.34,-0.23
1947,-11.72,-8.83,-7.73,-3.93,3.87,5.87,11.87,10.97,7.77,2.67,-8.93,-10.13,-9.36,-2.60,9.57,0.50,-0.47
